         8418060 function calls (8265897 primitive calls) in 298.835 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      933    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\module.py:233(_next)
     1066    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:101(add_edge)
      122    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\interpreter.py:693(op_LOAD_FAST)
       21    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
        4    0.000    0.000    0.002    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\np\arrayobj.py:279(_getitem_array_single_int)
      150    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\callconv.py:510(type_may_always_need_nrt)
       62    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cgutils.py:145(_get_ptr_by_name)
       44    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:654(_cast_var)
        2    0.000    0.000    0.002    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\numbers.py:780(real_floordiv_impl)
       11    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\pythonapi.py:60(box)
      468    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:266(core)
        6    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:603(as_return)
      232    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\ntpath.py:214(basename)
       11    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\arrayobj.py:116(get_itemsize)
     9193    0.002    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:55(__getattr__)
      150    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cgutils.py:910(global_constant)
        2    0.000    0.000    0.002    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\tupleobj.py:159(iternext_unituple)
      127    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:45(bitcast)
  668/197    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\packer.py:175(rec)
      226    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\context.py:8(get_global_context)
      311    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:107(_match_arglist)
     2720    0.002    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\utils.py:137(__init__)
       15    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\npyimpl.py:95(update_indices)
      322    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\itanium_mangler.py:86(_escape_string)
      453    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:482(traverse)
        9    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cpu.py:95(get_env_body)
       74    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\arrayobj.py:56(make_array)
        2    0.000    0.000    0.002    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\numbers.py:207(int_power_impl)
       39    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\containers.py:144(from_types)
      290    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\numpy_support.py:319(numpy_outputs)
     2823    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:379(__getattr__)
     1137    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:646(<genexpr>)
      232    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\ntpath.py:180(split)
        2    0.000    0.000    0.002    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\numbers.py:190(int_rem_impl)
      480    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:285(find_matching_getattr_template)
        2    0.000    0.000    0.002    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\numbers.py:130(_int_divmod_impl)
     1609    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:670(get_type)
      251    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ssa.py:279(on_assign)
       15    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\pythonapi.py:1247(nrt_adapt_ndarray_from_python)
      620    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:53(add_type)
       33    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\containers.py:202(__unliteral__)
      420    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:1165(check_var)
     1619    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\types.py:439(elements)
       26    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:90(get_lines)
  449/150    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\packer.py:123(_assign_names)
       54    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\removerefctpass.py:51(valid_input)
       26    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:468(from_data)
        2    0.000    0.000    0.002    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\np\arrayobj.py:255(getiter_array)
      440    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:192(add_pass)
       90    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:445(as_argument)
       24    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:307(resolve_static_getitem)
       25    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\imputils.py:428(impl_ret_borrowed)
        3    0.000    0.000    0.002    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\builtins.py:462(generic)
     1833    0.002    0.000    0.002    0.000 {built-in method _functools.reduce}
       20    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\genericpath.py:16(exists)
       26    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\npyimpl.py:139(_load_effective_address)
       40    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:225(_post_doms)
       58    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:307(if_else)
      227    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\cffi_utils.py:39(is_cffi_func)
     1220    0.002    0.000    0.002    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
     5808    0.002    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:116(successors)
      290    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\numpy_support.py:321(<listcomp>)
      476    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\llvmpy\core.py:126(null)
       20    0.002    0.000    0.002    0.000 {built-in method nt.stat}
       40    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:549(_find_post_dominators)
      756    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:377(insert_func_defn)
      576    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\inspect.py:2477(__init__)
     1018    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:813(_format_name)
      553    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\templates.py:179(signature)
       38    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\itanium_mangler.py:182(mangle_templated_ident)
     1604    0.001    0.000    0.002    0.000 {built-in method builtins.all}
     2544    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\types.py:116(__init__)
       20    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\byteflow.py:1359(__init__)
      322    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\re.py:203(sub)
     3217    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:527(__init__)
        4    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\arrayobj.py:3432(safecast_intp)
     3660    0.002    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:267(detach)
       19    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:686(normal_handler)
       47    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\scalars.py:78(__init__)
        9    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cgutils.py:261(__init__)
       20    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\bytecode.py:301(from_function)
       13    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\npyimpl.py:377(<listcomp>)
       39    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\module.py:138(data_layout)
      204    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:297(__exit__)
     2629    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\types.py:240(format_constant)
      748    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:480(descr)
       35    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\module.py:151(declare_intrinsic)
     2466    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:228(position_at_end)
      128    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:401(_load_builtins)
      172    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\ntpath.py:450(normpath)
       15    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\npyimpl.py:128(create_iter_indices)
      677    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\ntpath.py:124(splitdrive)
        8    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\boxing.py:69(unbox_float)
       11    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\decorators.py:188(wrapper)
     3490    0.002    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\npytypes.py:432(key)
      594    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\warnings.py:181(_add_filter)
      509    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:441(_lookup_global)
       59    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\targets.py:9(get_process_triple)
       95    0.002    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:182(__init__)
       23    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ssa.py:86(_iterated_domfronts)
     1066    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:366(_add_edge)
2093/1933    0.001    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\types.py:127(__eq__)
      378    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:762(__str__)
       20    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typed_passes.py:485(run_pass)
      108    0.000    0.000    0.002    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\callconv.py:446(_return_errcode_raw)
     3245    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\types.py:231(__eq__)
      190    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:1091(copy_type)
        2    0.000    0.000    0.001    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:761(__call__)
       73    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir_utils.py:1489(find_callname)
     3217    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
        9    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\pythonapi.py:263(unpack_tuple)
      440    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:179(_validate_pass)
       14    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cgutils.py:383(alloca_once_value)
      175    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:187(__init__)
     5226    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\analysis.py:69(<genexpr>)
       11    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\dispatcher.py:691(__init__)
     3354    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFD2BDFB810}
        9    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\decorators.py:245(njit)
        1    0.000    0.000    0.001    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\rangeobj.py:91(getiter_range32_impl)
        2    0.000    0.000    0.001    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:319(resolve_setitem)
      127    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cgutils.py:44(make_bytearray)
      290    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\numpy_support.py:269(supported_ufunc_loop)
     2548    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\types.py:553(__eq__)
       11    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\decorators.py:26(jit)
     2637    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\logging\__init__.py:1412(debug)
      756    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:381(_insert_getattr_defn)
       19    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\pythonapi.py:324(err_set_none)
      307    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\numpy_support.py:324(_ufunc_loop_sig)
      157    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:530(get_argument_type)
       20    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:230(__call__)
      112    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\copy.py:66(copy)
      185    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\module.py:215(_get_metadata_lines)
      756    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:393(_insert_get_constant_defn)
     2720    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\std.py:168(colour)
        1    0.000    0.000    0.001    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\np\arrayobj.py:1283(_broadcast_to_shape)
      528    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:248(_get_attribute_templates)
       13    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:1015(make_tuple)
       19    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\pythonapi.py:306(raise_object)
      756    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:389(_insert_cast_defn)
      756    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:385(_insert_setattr_defn)
       15    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\npyimpl.py:148(load_data)
      453    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:485(<listcomp>)
     1436    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\nrtopt.py:117(<listcomp>)
      632    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:34(<listcomp>)
     2720    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\tqdm\utils.py:141(__format__)
       30    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\containers.py:174(_make_heterogeneous_tuple)
      437    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\bytecode.py:174(next)
     4273    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      345    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:1135(redefine)
        7    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:205(from_return)
     1052    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:173(__eq__)
      522    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:574(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\rangeobj.py:104(from_range_state)
       20    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\byteflow.py:161(_prune_phis)
        7    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:191(from_data)
      227    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\cffi\api.py:194(typeof)
      515    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:1097(define)
       76    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\pythonapi.py:375(get_c_object)
     1320    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:405(get)
     3426    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:250(__init__)
      344    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:127(_match)
     3457    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:639(<listcomp>)
       52    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\ufunc\array_exprs.py:33(match)
       16    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cgutils.py:829(if_zero)
      417    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\byteflow.py:1171(append)
      342    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\abstract.py:439(literal_type)
       13    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\npyimpl.py:68(__init__)
      504    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\interpreter.py:412(get)
       20    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\untyped_passes.py:285(run_pass)
       94    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:526(not_)
    11390    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      116    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:147(wrapped)
       10    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\pythonapi.py:854(gil_ensure)
      157    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:531(<listcomp>)
     1360    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\common.py:9(_decode_string)
       46    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:277(pre_block)
       40    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\ctypes\__init__.py:47(create_string_buffer)
       36    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\models.py:453(from_argument)
      397    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\byteflow.py:1153(make_temp)
      112    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:609(select)
      242    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\utils.py:98(erase_traceback)
  514/430    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:234(__eq__)
       18    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       76    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:757(get_c_value)
       61    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cgutils.py:420(is_not_null)
       20    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\transforms.py:476(_legalize_withs_cfg)
        2    0.000    0.000    0.001    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\np\npyimpl.py:478(do_ufunc)
       20    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\untyped_passes.py:140(run_pass)
      126    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\module.py:89(get_global_variable)
      100    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:208(__str__)
      220    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:267(__init__)
     8290    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       23    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:177(dominance_frontier)
        1    0.000    0.000    0.001    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\tupleobj.py:60(tuple_eq)
     1948    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:191(function)
       20    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\compiler.py:498(define_typed_pipeline)
     1021    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
       67    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\llvmpy\core.py:146(bitcast)
     4216    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:124(predecessors)
      378    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:577(__repr__)
        3    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\tupleobj.py:379(tuple_to_tuple)
     2766    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       20    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\byteflow.py:73(__init__)
      174    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:21(_escape_string)
        2    0.000    0.000    0.001    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\cpython\tupleobj.py:293(getitem_unituple)
      594    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\warnings.py:458(__enter__)
       72    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\datamodel\packer.py:132(argument_types)
      378    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\passmanagers.py:115(finalize)
     1464    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:685(__init__)
      751    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\module.py:138(add_global)
       55    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\interpreter.py:1096(_binop)
     3217    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
      588    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\np\numpy_support.py:386(<listcomp>)
      161    0.001    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\inspect.py:2760(__init__)
      214    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:652(_add_refine_map)
       23    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:233(_df)
      378    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\passmanagers.py:108(initialize)
        7    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:696(pair_second)
       91    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\containers.py:256(__unliteral__)
       37    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:999(make_array)
       86    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\ntpath.py:524(abspath)
       20    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ssa.py:147(_run_block_analysis)
       40    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:261(backbone)
        1    0.000    0.000    0.001    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:718(generic_compare)
       39    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:707(_pass_manager_builder)
       23    0.000    0.000    0.001    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\controlflow.py:488(_find_dominance_frontier)
